Data Broker Name:,Registration ID:,Status:,Business Type:,Created Date:,Next Renewal Period Begins:,Termination Date:,Address:,Email Address:,Primary Internet Address:,"3. Does the data broker permit a consumer to opt out of the data broker’s collection of brokered personal information, opt out ofits databases or opt out of certain sales of data? :",a. What was the method for requesting an opt-out?,"b. If the opt-out applied to only certain activities or sales, which ones?",c. Does the data broker permit a consumer to authorize a third party to perform the opt-out on the consumer’s behalf?,"4. Statement specifying the data collection, databases or sales activities from which a consumer may not opt out:",5. Statement regarding whether the data broker implements a purchaser credentialing process:,6. The number of security breaches that the data broker experienced during the prior year:,  a. Total number of consumers affected by the breaches:,7. Does the data broker have actual knowledge that it possesses the brokered personal information of minors:,"If so, provide a statement detailing the data collection practices, databases, sales activities, and opt-out policies that are applicable to the brokered personal information of minors:",8. Any additional information or explanation the data broker chooses to provide concerning its data collection practices:
Effyis Inc. dba Socialgist,371980,ACTIVE,Data Broker,5/21/2020,1/1/2021,2/1/2021,"700 Tower Dr., Troy, MI, 48098, USA",info@socialgist.com,https://socialgist.com,Yes,Data subjects can email the specific social media web sites and usernames for removal to info@socialgist.com.,Opt-out applies to all activities.,yes,"Not applicable, consumers may opt out of all activities.","Yes, Socialgist has an approval process for vetting customer use cases.",0,0,No,,Only data available from public web sites is collected.
"Deep Root Analytics, LLC",373507,ACTIVE,Data Broker,6/25/2020,1/1/2021,2/1/2021,"1600 Wilson Blvd, Suite 330, Arlington, VA, 22209, USA",info@deeprootanalytics.com,https://www.deeprootanalytics.com,Yes,A consumer that would like to have his or her name removed from our records for any reason may e-mail us a removal request containing their full name and physical address at notice@deeprootanalytics.com.,n/a,"A consumer may also submit a request to remove the name(s) of individuals who reside in their household. Deep Root will not honor removal requests for individuals residing outside of a consumer’s household or whose submitted address does not match the address in our systems. Because we do not knowingly collect or retain information about individuals under the voter registration age, it is not necessary to submit a removal request for individuals under the age of 17.",n/a,Deep Root takes reasonable steps to verify that a prospective customer is a legitimate business before engaging with that business.,0,0,No,,Individuals can obtain more information regarding our data collection practices on our website: https://www.deeprootanalytics.com/privacy/.
"Clickagy, LLC",373786,ACTIVE,Data Broker,7/1/2020,1/1/2021,2/1/2021,"695 Mansell Rd, Ste 250, Roswell, GA, 30076, USA",ccpa@clickagy.com,https://www.clickagy.com,Yes,Submitting a request via https://www.clickagy.com/privacy/,Marketing and data sales,Yes,"N/A, as long as legally permitted",No,0,0,No,,
"Censia, Inc",374484,ACTIVE,Data Broker,7/16/2020,1/1/2021,2/1/2021,"450 Geary Street, Suite 501, San Francisco, CA, 94102, USA",tgotowka@censia.com,www.censia.com,Yes,An opt-out request can be submitted by sending email to support@censia.com or open request ticket from our web site,"Applies to all areas, Request to be Erased also available to remove the individual from the database",Yes,"The consumer can opt-out of all activities, Marketing, and retention of information from the database.","Prior to giving our customers access to our platform, they sign an Information Security Policy document.",0,0,No,,
Demyst Data Ltd,376423,ACTIVE,Data Broker,8/26/2020,1/1/2021,2/1/2021,"149 E. 23rd Street, Suite 2035, New York, NY, 10010, USA",privacy@demystdata.com,https://demyst.com/,Yes,Opt out is available on the Demyst website by either filling out the relevant form or emailing Demyst.,N/A.  Opt out applies to all activities.,Yes.,N/A. Opt out covers all activities.,All purchasers are reviewed through the Demyst contracting process. All purchases are done through express written contracts.,0,0,No,,
"Data-Mail, Inc.",378600,ACTIVE,Data Broker,10/12/2020,1/1/2021,2/1/2021,"P. O. Box 2, Stoneville, NC, 27048, USA",ldecastro@data-management.com,www.data-management.com,Yes,"You can opt-out on our website and click the ""Do Not Sell My Personal Information"".  Complete the form and submit button.",Opt out applies to data that we resell.,Yes.,n/a,n/a,0,0,No,,We are a reseller and  do not collect data from individuals or consumers for resale.
"Chex Systems, Inc.",378830,ACTIVE,Data Broker,10/16/2020,1/1/2021,2/1/2021,"7805 Hudson Road, Suite 100, Woodbury, MN, 55125, USA",Kelly.Hodge@fisglobal.com,www.chexsystems.com,Yes,"Consumers may submit opt-out requests through mail, fax, phone and through ChexSystems’ Website.",Consumers may opt-out from pre-approved offers of credit or insurance where ChexSystems’ information is used.,"Yes, ChexSystems permits a third-party to perform the opt-out with notarized power of attorney or specific written instruction.",ChexSystems’ use of personal information as identifying information and as otherwise allowed under the Fair Credit Reporting Act (FCRA) and the Gramm-Leach-Bliley Act (GLBA).,"Yes, Chex Systems, Inc. has and complies with a credentialing process.",0,0,No,,None
"Inflection.com, Inc",351593,CANCELLED,Data Broker,1/3/2019,1/1/2020,2/1/2020,"555 Twin Dolphin Dr., Ste 200, REDWOOD CITY, CA, 94065, USA",legal@inflection.com,www.inflection.com,Yes,"Inflection.com, Inc owns and operates PeopleSmart.com. Consumers wishing to opt-out may visit PeopleSmart.com and click the ""opt-out"" link at the bottom of the homepage. Alternatively, they may visit https://www.peoplesmart.com/optout-go. Here, they will be directed through our electronic opt-out process. Alternatively, opt-out requests may be mailed to: PeopleSmart,  P.O. Box 391146, Omaha, NE 68139","Opting out from PeopleSmart does not remove your contact information from data sources we do not control, such as public records. We also reserve the right to make available anonymous search data that does not identify you individually. Further, if someone searches for court records or otherwise directly accesses official government records through PeopleSmart that include your personal information, we may show those records to them.","Yes, third parties who are authorized to act on the consumer's behalf may opt out records. However, this must be done by contacting support at https://www.peoplesmart.com/contact-us or by mailing a request to: PeopleSmart, P.O. Box 391146, Omaha, NE 68139. Documentation showing the third party is authorized to act on the consumer's behalf is required.","When you submit an opt-out request, we make a good faith effort to identify your records and remove them from our search results. Because our information comes from public record sources, there may be errors in the records that prevent your opt-out from being fully effective (for example, opting out the address ""123 Main Street"" would not opt out the erroneous address ""123 Maine Street"".)",Peoplesmart uses fraud prevention screening to ensure purchasers' transactions do not pose a high risk of fraud.,0,0,Yes,"Peoplesmart does not collect, sell, or provide access to the personal information of minors.",Please review Peoplesmart.com's privacy policy at https://www.peoplesmart.com/privacy-policy for more information.
"Neustar, Inc.",351777,EXPIRED,Data Broker,1/8/2019,1/1/2020,2/1/2020,"21575 Ridgetop Circle, Sterling, VA, 20166, USA",privacy@team.neustar,www.home.neustar,Yes,on and off-line,all marketing activities,with POA,"Processing for other than marketing purposes undertaken on behalf and at the direction of a third party (e.g., Caller Name, Directory Listings, certain fraud/risk activities",NA,0,0,Yes,NA,Please see our Privacy Statement for additional information:  https://www.home.neustar/privacy.  Additional opt-out information is available here:
"SageStream, LLC",351853,EXPIRED,Data Broker,1/9/2019,1/1/2020,2/1/2020,"15253 Avenue of Science, San Diego, CA, 92128, USA",ken_meiser@symantec.com,www.sagestreamllc.com,Yes,"SageStream LLC (“SageStream”) delivers credit scores and attributes to clients who submit sufficient PII to identify a consumer and have permissible purposes in accordance with the Fair Credit Reporting Act (“FCRA”) and Vermont Fair Credit Reporting Statute (“VFCRS”).  Consumer disclosure, correction and opt out requests as required under the FCRA and VFCRS can be submitted via mail, phone or online. Specific details and proof of identity instructions are available at www. sagestreamllc.com.","SageStream  delivers credit scores and attributes to clients who submit sufficient PII to identify a consumer, and have permissible purposes in accordance with the FCRA VFCRS.  The FCRA and VFCRS allow for limited opt-out and grant other consumer rights.  Even with a security freeze or opt-out in place, events outlined in 15 U.S.C. §1681b(e), and 9 V.S.A. § 2480h(l) will remain supported by SageStream.",No,"SageStream is a consumer reporting agency as defined by the FCRA and the VCFRS.  SageStream  delivers credit scores and attributes to commercial clients with permissible purpose in accordance with the FCRA and VFCRS.    As discussed above, the FCRA and VFCRS allow for limited, but not absolute opt-out as well as additional consumer rights related to disclosure and correction","All SageStream clients are credentialed in accordance with credentialing processes that have been in place for a number of years.  As stated above, SageStream only provides credit risk scores and attributes to clients who have certified their respective permissible purposes for accessing such scores and attributes.   Credentialing of the client, contractual review, collection of per-event client permissible purpose certification and audits are required.",0,0,Yes,"As discussed above, SageStream delivers credit risk scores and attributes to clients in accordance with the FCRA and VFCRA.   In certain circumstances, the FCRA allows a consumer reporting agency to generate a consumer report on a minor (e.g., prescreen purposes) subject to certain requirements and limitations (see 15 U.S.C. §1681b(c)(1)(B)(iv). Technical controls are in place to highlight responses when the request is determined to be a minor.","As described above, SageStream is a consumer reporting agency that does not provide consumer PII to third parties.  Rather it delivers credit risk scores and attributes to its business clients who (i) submit sufficient consumer PII to identify a consumer, and (ii) have certified their respective permissible purposes to access such scores and attributes in accordance with the FCRA and VFCRS."
